"Jugador","P.Jug.","P.Compl.","P.Tit.","P.Sust.","Min","Tarj.","Expul.","Goles","Penalti","Equipo"
"SERGIO ALV.","35","34","35","0","3145","8","0","2","0","sporting"
"VIGUERA","11","0","5","6","404","0","0","0","0","sporting"
"WHALLEY","1","1","1","0","90","0","0","0","0","sporting"
"XANDAO","2","0","1","1","99","0","0","0","0","sporting"
"ANGEL GARCIA","7","6","7","0","615","2","0","1","0","valladolid"
"ANTOÑITO","38","35","35","3","3175","4","0","0","0","valladolid"
"ANUAR","29","11","20","9","1778","4","0","1","0","valladolid"
"ARNAIZ","1","1","1","0","90","0","0","0","0","valladolid"
"BORJA F.","41","36","40","1","3548","17","0","3","0","valladolid"
"CALERO. F.","27","25","25","2","2342","6","0","2","0","valladolid"
"CHRISTOPHER","6","0","1","5","145","0","0","0","0","valladolid"
"COTAN","8","0","3","5","274","0","0","0","0","valladolid"
"DEIVID","24","22","24","0","2050","4","0","1","0","valladolid"
"GIANNIOTAS","30","2","7","23","976","8","0","2","1","valladolid"
"GUITAN","5","5","5","0","450","1","0","1","0","valladolid"
"HERRERA. B.","5","4","4","1","361","2","0","0","0","valladolid"
"HERVIAS","42","8","31","11","2665","4","0","6","0","valladolid"
"ISAAC BECERRA","1","0","0","1","4","0","0","0","0","valladolid"
"IVAN SALVADOR","19","2","14","5","1085","7","0","3","0","valladolid"
"JAIME MATA","43","36","42","1","3744","14","0","35","0","valladolid"
"JAVI MOLLANO","29","26","29","0","2520","6","0","1","0","valladolid"
"JAVI PEREZ M.","1","0","0","1","1","0","0","0","0","valladolid"
"KIKO OLIVAS","38","33","37","1","3261","4","2","1","0","valladolid"
"LUISMI S.","29","19","28","1","2351","9","3","3","0","valladolid"
"MASIP","46","45","46","0","4136","3","0","0","0","valladolid"
"MAYORAL","3","0","0","3","11","0","0","0","0","valladolid"
"MIGUEL A.","30","11","18","12","1861","6","1","5","0","valladolid"
"NACHP MG.","22","21","21","1","1919","5","0","0","0","valladolid"
"ONTIVEROS","17","0","8","9","678","3","0","0","0","valladolid"
"OSCAR PLANO","44","12","36","8","3121","5","0","6","0","valladolid"
"TONI MARTINEZ","11","0","2","9","222","5","0","1","0","valladolid"
"TONI VILLA","34","5","22","12","1901","5","0","2","0","valladolid"
"VILLALIBRE","13","0","0","13","223","1","0","0","0","valladolid"
"ALBERT BENITO","29","24","28","1","2397","2","0","0","0","zaragoza"
"ALEIX FEBAS","41","13","29","12","2590","4","0","2","0","zaragoza"
"ALFARO. J.","4","0","0","4","73","0","0","0","0","zaragoza"
"ANGEL MO.P.","17","13","15","2","1323","1","0","0","0","zaragoza"
"BORJA I.","41","37","41","0","3618","7","1","22","3","zaragoza"
"BRUNO","12","9","9","3","891","2","0","1","0","zaragoza"
"CRISTIAN A.","38","37","38","0","3399","3","1","0","0","zaragoza"
"EGUARAS","40","28","37","3","3201","6","1","0","0","zaragoza"
"GRIPPO","26","22","25","1","2178","8","1","3","0","zaragoza"
"GUTI PAREJO","29","16","20","9","1978","2","0","1","0","zaragoza"
"JESUS MV.","5","2","2","3","239","1","0","0","0","zaragoza"
"JULIAN DELMAS","22","15","18","4","1695","6","1","1","0","zaragoza"
"LASURE","23","20","23","0","2041","3","0","0","0","zaragoza"
"MIKEL G.","28","20","22","6","1991","5","0","2","0","zaragoza"
"OIARTZUN","17","3","5","12","529","3","0","0","0","zaragoza"
"OLIVER BUFF","28","5","14","14","1333","5","0","2","1","zaragoza"
"PAPUNASHVILI","28","5","15","13","1376","5","0","8","0","zaragoza"
"PEP BIEL","2","0","0","2","36","0","0","0","0","zaragoza"
"POMBO","34","4","23","11","1991","8","1","5","0","zaragoza"
"RATON","7","6","6","1","561","0","0","0","0","zaragoza"
"ROS","27","9","22","5","1843","5","0","2","0","zaragoza"
"TOQUERO","29","4","18","11","1559","2","0","4","0","zaragoza"
"VERDASCA","30","28","30","0","2592","11","1","0","0","zaragoza"
"VINICIUS","16","1","6","10","652","3","0","1","1","zaragoza"
"ZAPATER","41","27","38","3","3279","11","1","4","0","zaragoza"
"AGUILERA","35","28","33","2","2936","7","0","1","0","huesca"
"ALEX GALLAR","37","8","23","14","2145","6","0","8","0","huesca"
"ALEXANDER D.","31","25","27","4","2542","9","0","1","0","huesca"
"BREZANCIC","30","25","30","0","2541","12","0","0","0","huesca"
"CAMACHO","20","0","2","18","272","1","0","0","0","huesca"
"CARLOS AKAPO","20","17","19","1","1675","4","1","0","0","huesca"
"CARLOS DAVID","3","0","2","1","101","1","1","0","0","huesca"
"D. FERREIRO","38","15","27","11","2508","4","1","3","0","huesca"
"GRANT","5","0","1","4","131","0","0","0","0","huesca"
"IÑIGO LOPEZ","4","2","2","2","200","1","0","0","0","huesca"
"JAIR","42","40","42","0","3762","2","0","2","0","huesca"
"JAVITO LOPEZ","1","0","0","1","1","0","0","0","0","huesca"
"JUAN CAMILO","35","22","33","2","2905","8","0","15","1","huesca"
"LUIS AVILA","35","3","27","8","2174","7","1","7","0","huesca"
"LUSO","27","5","9","18","967","4","0","1","0","huesca"
"MELERO","38","21","38","0","3244","8","1","17","0","huesca"
"MOI","17","11","15","2","1363","4","0","1","0","huesca"
"PULIDO. J.","39","37","38","1","3435","9","1","1","0","huesca"
"REMIRO","41","40","41","0","3626","5","0","0","0","huesca"
"RESCALDANI","19","0","5","14","489","1","0","0","0","huesca"
"RULO","11","4","5","6","574","2","0","0","0","huesca"
"SANTAMARIA","2","1","1","1","154","1","0","0","0","huesca"
"SASTRE","37","24","30","7","2666","8","0","1","0","huesca"
"VADILLO. A.","21","2","12","9","1055","2","0","0","0","huesca"
"ALEJANDRO P.","36","19","28","8","2495","2","1","2","0","sevilla-atletico"
"ALEX MUÑOZ","25","22","24","1","2178","11","1","3","0","sevilla-atletico"
"AMO","3","2","2","1","203","1","0","0","0","sevilla-atletico"
"BERROCAL. J.","30","20","29","1","2445","8","0","0","0","sevilla-atletico"
"BORJA SAN E.","23","16","20","3","1795","10","0","0","0","sevilla-atletico"
"BOUTOBBA","22","7","12","10","1129","1","0","0","0","sevilla-atletico"
"CANTALAPIEDRA","21","10","14","7","1306","4","0","1","0","sevilla-atletico"
"CARLOS FDEZ.","24","15","21","3","1754","10","1","8","0","sevilla-atletico"
"CARMONA. D.","36","30","33","3","2978","6","0","0","0","sevilla-atletico"
"CARO D.","12","12","12","0","1080","1","0","0","0","sevilla-atletico"
"CRISTIAN GLEZ","14","8","13","1","1033","5","0","1","0","sevilla-atletico"
"CURRO JOSE","31","14","21","10","2152","11","0","3","1","sevilla-atletico"
"DIEGO JOSE G.","4","0","3","1","249","1","0","0","0","sevilla-atletico"
"FEDE SAN E.","39","36","39","0","3432","8","0","2","0","sevilla-atletico"
"FELIPE C.","17","8","15","2","1222","3","0","0","0","sevilla-atletico"
"FELIPE RGUEZ.","9","8","9","0","727","2","0","0","0","sevilla-atletico"
"GENARO","4","0","0","4","61","0","0","0","0","sevilla-atletico"
"GIORGI A.","22","2","7","15","1009","2","0","0","0","sevilla-atletico"
"GUAL","24","13","16","8","1543","4","0","1","0","sevilla-atletico"
"JOSE MENA","23","8","14","9","1328","2","0","2","0","sevilla-atletico"
"JUANJE","2","0","0","2","42","0","0","0","0","sevilla-atletico"
"LARA. JA.","22","6","18","4","1465","1","0","2","0","sevilla-atletico"
"MARIANO KONYK","14","10","14","0","1117","1","2","0","0","sevilla-atletico"
"MARTIN. M.","10","1","2","8","368","0","0","0","0","sevilla-atletico"
"MATEOS. JJ.","24","19","23","1","1953","4","2","1","0","sevilla-atletico"
"OLAVIDE","25","2","19","6","1370","3","0","0","0","sevilla-atletico"
"ONDOA","3","3","3","0","270","0","0","0","0","sevilla-atletico"
"PEJIÑO","2","0","0","2","42","0","0","0","0","sevilla-atletico"
"SAMUEL PEREZ","1","1","1","0","90","0","0","0","0","sevilla-atletico"
"SORIANO. J.","26","26","26","0","2340","2","0","0","0","sevilla-atletico"
"VAZQUEZ. JM.","3","1","3","0","223","0","0","0","0","sevilla-atletico"
"VIEDMA. A.","5","1","3","2","283","0","0","0","0","sevilla-atletico"
"YAN BRICE","30","9","18","12","1639","9","2","0","0","sevilla-atletico"
"ZARZANA","1","0","0","1","4","0","0","0","0","sevilla-atletico"
"ALEX C","3","0","1","2","94","0","0","0","0","almeria"
"CABALLERO. P.","27","6","11","16","1274","2","0","3","0","almeria"
"CALLEJON. F.","2","0","1","1","76","0","0","0","0","almeria"
"ESTUPIÑAN","26","16","19","7","1802","2","0","0","0","almeria"
"FIDEL","31","11","24","7","2025","4","1","4","0","almeria"
"FRAN. JR.","21","11","16","5","1512","4","0","2","0","almeria"
"HICHAM","23","5","11","12","1060","1","0","1","0","almeria"
"JAVI ALAMO","10","0","2","8","291","0","0","0","0","almeria"
"JOAQUIN FM.","35","33","34","1","3104","9","1","0","0","almeria"
"JOSE POZO","39","26","37","2","3179","7","1","2","0","almeria"
"JUAN MUÑOZ","25","4","16","9","1430","1","0","4","0","almeria"
"LASS","10","0","5","5","456","2","0","0","0","almeria"
"MANDI","23","13","20","3","1713","8","0","0","0","almeria"
"MARCO MOTTA","31","23","29","2","2499","11","1","3","0","almeria"
"MORCILLO. J.","26","21","26","0","2180","9","2","2","0","almeria"
"NANO G.","35","26","32","3","2821","6","0","0","0","almeria"
"NAUZET ALEMAN","7","0","3","4","296","0","0","0","0","almeria"
"NAVAS VARGAS","2","0","1","1","51","1","0","0","0","almeria"
"OSCAR LOZANO","2","0","0","2","42","0","0","0","0","almeria"
"OWONA","20","12","15","5","1303","3","0","0","0","almeria"
"PANADERO","25","11","21","4","1790","3","0","1","0","almeria"
"RENE ROMAN","42","42","42","0","3780","5","0","0","0","almeria"
"RUBEN ALCAZAR","41","37","39","2","3547","9","0","9","0","almeria"
"SOLERI","11","4","9","2","739","2","0","2","0","almeria"
"SULAYMAN","12","4","12","0","922","7","1","1","0","almeria"
"TINO COSTA","14","1","5","9","554","0","1","2","0","almeria"
"TRUJILLO. A.","19","15","16","3","1498","3","0","0","0","almeria"
"VERZA","24","11","15","9","1452","6","0","2","1","almeria"
